Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764577849,40,,Aggregated,32.500000,32.500000,340,390,430,450,520,630,2300,2500,2700,2700,2700,1140,1140,340.0,420.9926246486455,153.73819999513216,2655.0275000045076,191.0
1764577850,40,,Aggregated,33.100000,33.100000,330,390,430,450,510,610,2300,2500,2700,2700,2700,1173,1173,330.0,417.22022975230857,153.73819999513216,2655.0275000045076,191.0
1764577851,40,,Aggregated,32.800000,32.800000,330,380,420,450,510,610,2300,2500,2700,2700,2700,1209,1209,330.0,414.4842373858617,153.73819999513216,2655.0275000045076,191.0
1764577852,40,,Aggregated,33.100000,33.100000,330,380,420,450,510,610,2300,2500,2700,2700,2700,1242,1242,330.0,412.05653148116886,153.73819999513216,2655.0275000045076,191.0
1764577853,40,,Aggregated,33.700000,33.700000,330,380,420,450,510,600,2300,2500,2700,2700,2700,1284,1284,330.0,410.3976306070984,153.73819999513216,2655.0275000045076,191.0
1764577854,40,,Aggregated,33.900000,33.900000,330,380,420,440,510,600,2300,2400,2700,2700,2700,1315,1315,330.0,407.4504480604038,153.73819999513216,2655.0275000045076,191.0
1764577855,40,,Aggregated,34.200000,34.200000,330,380,420,440,500,590,2300,2400,2700,2700,2700,1356,1356,330.0,405.3955067106324,153.73819999513216,2655.0275000045076,191.0
1764577856,40,,Aggregated,34.400000,34.400000,330,380,410,440,500,580,2300,2400,2700,2700,2700,1390,1390,330.0,401.6874891364312,153.73819999513216,2655.0275000045076,191.0
1764577857,40,,Aggregated,35.000000,35.000000,330,380,410,440,500,580,2300,2400,2700,2700,2700,1422,1422,330.0,400.48539535837205,153.73819999513216,2655.0275000045076,191.0
1764577858,40,,Aggregated,35.100000,35.100000,330,380,410,440,500,580,2300,2400,2700,2700,2700,1454,1454,330.0,398.5050922968509,153.73819999513216,2655.0275000045076,191.0
1764577859,40,,Aggregated,34.600000,34.600000,330,370,410,430,500,580,2300,2400,2700,2700,2700,1492,1492,330.0,396.5935571713828,153.73819999513216,2655.0275000045076,191.0
1764577860,40,,Aggregated,35.000000,35.000000,330,380,410,430,500,570,2300,2400,2700,2700,2700,1523,1523,330.0,396.75284648699824,153.73819999513216,2655.0275000045076,191.0
1764577861,40,,Aggregated,35.300000,35.300000,330,380,420,440,500,590,2300,2400,2700,2700,2700,1548,1548,330.0,398.0337717698474,153.73819999513216,2655.0275000045076,191.0
1764577862,40,,Aggregated,34.500000,34.500000,330,380,420,450,510,610,2300,2400,2700,2700,2700,1581,1581,330.0,401.33182289674016,153.73819999513216,2655.0275000045076,191.0
1764577863,40,,Aggregated,34.500000,34.500000,330,380,420,450,510,610,2300,2400,2700,2700,2700,1615,1615,330.0,399.96632130010323,153.73819999513216,2655.0275000045076,191.0
1764577864,40,,Aggregated,33.700000,33.700000,330,380,420,440,510,600,2300,2400,2700,2700,2700,1647,1647,330.0,397.8778045535363,153.73819999513216,2655.0275000045076,191.0
1764577865,40,,Aggregated,33.700000,33.700000,330,380,420,450,510,600,2300,2400,2700,2700,2700,1681,1681,330.0,398.4259908386,153.73819999513216,2655.0275000045076,191.0
